Player,Team,Update,Description
Ja Morant,Memphis Grizzlies,"Mon, Jan 8, 2024",Out For Season (Shoulder) - Grizzlies announced Ja Morant will undergo season-ending surgery on his shoulder.
Derrick Rose,Memphis Grizzlies,"Tue, Mar 5, 2024",Out (Back) - The Memphis Grizzlies announced Rose was diagnosed with osteitis pubis and will be re-evaluated in three weeks.
Marcus Smart,Memphis Grizzlies,"Thu, Feb 22, 2024",Out (Finger) - The Grizzlies announced that Smart's injury is healing properly and he will be re-evaluated in three weeks.
Lamar Stevens,Memphis Grizzlies,"Tue, Apr 9, 2024",Out (Groin) - Stevens is OUT for Tuesday's (Apr. 9) game against San Antonio.
Yuta Watanabe,Memphis Grizzlies,"Mon, Apr 8, 2024",Out (Personal) - Watanabe is OUT for Tuesday's (Apr. 9) game against San Antonio.
Vince Williams Jr.,Memphis Grizzlies,"Mon, Apr 8, 2024",Out (Knee) - Williams Jr. is OUT for Tuesday's (Apr. 9) game against San Antonio.
Ziaire Williams,Memphis Grizzlies,"Tue, Mar 5, 2024",Out (Hip) - The Memphis Grizzlies announced Williams is diagnosed with a grad2 strain of the hip and back and will be evaluated in four weeks.
Josh Richardson,Miami Heat,"Wed, Mar 6, 2024",Out For Season (Shoulder) - The Heat announced that Richardson underwent right shoulder surgery and will miss the remainder of the season.
Duncan Robinson,Miami Heat,"Mon, Apr 8, 2024",Out (Facet) - Robinson is OUT for Tuesday's (Apr. 9) game against Atlanta.
Terry Rozier,Miami Heat,"Tue, Apr 9, 2024",Out (Neck) - Rozier is OUT for Tuesday's (Apr. 9) game against Atlanta.
Giannis Antetokounmpo,Milwaukee Bucks,"Tue, Apr 9, 2024",Day To Day (Calf) - Antetokounmpo left Tuesday's (Apr. 9) game against Boston and did not return.
MarJon Beauchamp,Milwaukee Bucks,"Mon, Apr 8, 2024",Out (Ankle) - Beauchamp is OUT for Tuesday's (Apr. 9) game against Boston.
Jaylin Galloway,Milwaukee Bucks,"Mon, Apr 8, 2024",Out (Ankle) - Galloway is OUT for Tuesday's (Apr. 9) game against Boston.
Jaylen Clark,Minnesota Timberwolves,"Mon, Mar 25, 2024","Out (Achilles) - Clark still remains out due to an achilles injury, and has no timetable for return."
Karl-Anthony Towns,Minnesota Timberwolves,"Thu, Mar 7, 2024","Out (Knee) - Towns is dealing with a left meniscus injury and there is no timetable for his return, according to Adrian Wojnarowski of ESPN.com."
Brandon Ingram,New Orleans Pelicans,"Fri, Mar 22, 2024","Out (Knee) - The Pelicans announced that Ingram will be re-evaluated in two weeks after sustaining a bone contusion in his left knee, per Senior NBA Insider Chris Haynes."
Naji Marshall,New Orleans Pelicans,"Tue, Apr 9, 2024",Out (Shoulder) - Marshall is OUT for Tuesday's (Apr. 9) game against Portland.
Julius Randle,New York Knicks,"Thu, Apr 4, 2024",Out For Season (Shoulder) - The Knicks announced that Randle will undergo surgery on his right shoulder and will be re-evaluated in five months.
Gordon Hayward,Oklahoma City Thunder,"Mon, Apr 8, 2024",Out (Posterior Tibialis) - Hayward is OUT for Tuesday's (Apr. 9) game against Sacramento.
Franz Wagner,Orlando Magic,"Tue, Apr 9, 2024",Out (Ankle) - Wagner is OUT for Tuesday's (Apr. 9) game against Houston.
Robert Covington,Philadelphia 76ers,"Thu, Mar 14, 2024","Out (Knee) - Covington last played (Dec. 30), and has no timetable on his return."
Kyle Lowry,Philadelphia 76ers,"Tue, Apr 9, 2024",Out (Rest) - Lowry is OUT for Tuesday's (Apr. 9) game against Detroit.
Tyrese Maxey,Philadelphia 76ers,"Tue, Apr 9, 2024",Out (Hip) - Maxey is OUT for Tuesday's (Apr. 9) game against Detroit.
Damion Lee,Phoenix Suns,"Mon, Feb 12, 2024","Out (Knee) - Head coach Frank Vogel said Monday that Lee (knee) has yet to resume on-court work, but the Suns remain hopeful that the 31-year-old will play before the end of the regular season, Duane Rankin of The Arizona Republic reports."
Jusuf Nurkić,Phoenix Suns,"Tue, Apr 9, 2024",Out (Ankle) - Nurkic is OUT for Tuesday's (Apr. 9) game against the Clippers.
Malcolm Brogdon,Portland Trail Blazers,"Thu, Mar 14, 2024","Out (Elbow) - The Trail Blazers announced that Brogdon has increased his workload in workouts and is trending in the right direction, but there is no clear timetable on his return."
Toumani Camara,Portland Trail Blazers,"Sat, Mar 30, 2024",Out For Season (Rib) - Camara is OUT for the rest of the season but will make a full recovery from his rib fracture.
Jerami Grant,Portland Trail Blazers,"Tue, Apr 9, 2024",Out (Hamstring) - Grant is OUT for Tuesday's (Apr. 9) game versus New Orleans.
Shaedon Sharpe,Portland Trail Blazers,"Tue, Apr 9, 2024",Out (Abdomen) - Sharpe is OUT for Tuesday's (Apr. 9) game versus New Orleans.
Anfernee Simons,Portland Trail Blazers,"Tue, Apr 9, 2024",Out (Knee) - Simons is OUT for Tuesday's (Apr. 9) game versus New Orleans.
Matisse Thybulle,Portland Trail Blazers,"Tue, Apr 9, 2024",Out (Ankle) - Thybulle is OUT for Tuesday's (Apr. 9) game versus New Orleans.
Robert Williams,Portland Trail Blazers,"Fri, Nov 10, 2023","Out For Season (Knee) - Williams III will be required to undergo season-ending knee surgery, per Adrian Wojnarowski."
Kevin Huerter,Sacramento Kings,"Fri, Mar 29, 2024",Out For Season (Shoulder) - Huerter will have season-ending left shoulder surgery. Huerter is expected to be recovered for the start of the 2024-25 season.
Malik Monk,Sacramento Kings,"Wed, Apr 3, 2024",Out (MCL Sprain) - Monk suffered a sprained right MCL and is expected to miss four-to-six weeks.
Dominick Barlow,San Antonio Spurs,"Mon, Apr 8, 2024",Out (Knee) - Barlow is OUT for Tuesday's (Apr. 9) game against Memphis.
Charles Bassey,San Antonio Spurs,"Tue, Dec 12, 2023",Out For Season (Knee) - The San Antonio Spurs announced C Charles Bassey is out for the season with a torn ACL.
Keldon Johnson,San Antonio Spurs,"Mon, Apr 8, 2024",Out (Foot) - Johnson is OUT for Tuesday's (Apr. 9) game against Memphis.
Cedi Osman,San Antonio Spurs,"Mon, Apr 8, 2024",Out (Ankle) - Osman is OUT for Tuesday's (Apr. 9) game against Memphis.
Jeremy Sochan,San Antonio Spurs,"Mon, Apr 1, 2024",Out For Season (Ankle) - Spurs announced Sochan is out for the rest of the season with an ankle injury.
Devin Vassell,San Antonio Spurs,"Mon, Apr 1, 2024",Out For Season (Foot) - Spurs announced Vassell is out for the rest of the season with a foot injury.
Scottie Barnes,Toronto Raptors,"Sat, Mar 2, 2024",Out (Hand) - The Toronto Raptors announced that F Scottie Barnes has sustained a fracture to the third metacarpal bone of his left hand and is out indefinitely.
Chris Boucher,Toronto Raptors,"Mon, Mar 18, 2024",Out (Knee) - Raptors head coach Darko Rajakovic said Boucher is dealing with MCL tear in his right knee and is likely out the next 6-8 weeks.
D.J. Carton,Toronto Raptors,"Mon, Apr 8, 2024",Out (Ankle) - Carton is OUT for Tuesday's (Apr. 9) game against Indiana.
Gradey Dick,Toronto Raptors,"Tue, Apr 9, 2024",Out (Groin) - Dick is OUT for Tuesday's (Apr. 9) game against Indiana.
Jakob Poeltl,Toronto Raptors,"Wed, Mar 13, 2024",Out (Finger) - The Raptors announced that Poeltl had surgery on his left pinkie finger and is out indefinitely.
Jontay Porter,Toronto Raptors,"Sun, Mar 24, 2024",Out (Personal Reasons) - Porter is OUT for Monday's (Mar. 25) game against Brooklyn.
Immanuel Quickley,Toronto Raptors,"Mon, Apr 8, 2024",Out (Rest) - Quickley is OUT for Tuesday's (Apr. 9) game against Indiana.
Jordan Clarkson,Utah Jazz,"Mon, Apr 8, 2024",Out (Back) - Clarkson is OUT for Tuesday's (Apr. 9) game against Denver.
John Collins,Utah Jazz,"Mon, Apr 8, 2024",Out (Back) - Collins is OUT for Tuesday's (Apr. 9) game against Denver.
Kris Dunn,Utah Jazz,"Mon, Apr 8, 2024",Out (Foot) - Dunn is OUT for Tuesday's (Apr. 9) game against Denver.
Walker Kessler,Utah Jazz,"Mon, Apr 8, 2024",Out (Nose) - Kessler is OUT for Tuesday's (Apr. 9) game against Denver.
Lauri Markkanen,Utah Jazz,"Sat, Mar 30, 2024",Out (Shoulder) - The Jazz announced that Markkanen re-aggravated his shoulder impingement and will be re-evaluated in two weeks.
Collin Sexton,Utah Jazz,"Tue, Apr 9, 2024",Out (Illness) - Sexton is OUT for Tuesday's (Apr. 9) game against Denver.
Marvin Bagley III,Washington Wizards,"Mon, Apr 8, 2024",Out (Knee) - Bagley III is OUT for Tuesday's (Apr. 9) game against Minnesota.
Bilal Coulibaly,Washington Wizards,"Mon, Mar 18, 2024",Out For Season (Wrist) - Wizard announced Coulibaly will miss the remainder of the regular season after being diagnosed with a right wrist fracture.
Richaun Holmes,Washington Wizards,"Tue, Apr 9, 2024",Out (Toe) - Holmes is OUT for Tuesday's (Apr. 9) game against Minnesota.
Tyus Jones,Washington Wizards,"Mon, Apr 8, 2024",Out (Back) - Jones is OUT for Tuesday's (Apr. 9) game against Minnesota.
Kyle Kuzma,Washington Wizards,"Tue, Apr 9, 2024",Out (Ankle) - Kuzma is OUT for Tuesday's (Apr. 9) game against Minnesota.
Landry Shamet,Washington Wizards,"Mon, Apr 8, 2024",Out (Calf) - Shamet is OUT for Tuesday's (Apr. 9) game against Minnesota.
Tristan Vukcevic,Washington Wizards,"Tue, Apr 9, 2024",Out (Knee) - Vukcevic is OUT for Tuesday's (Apr. 9) game against Minnesota.
